Time(s),Altitude(ft)
17.8,2058.3
17.85,2061.5
17.9,2056.3
17.95,2055.2
18.0,2057.1
18.05,2055.8
18.1,2054.5
18.15,2051.9
18.2,2045.1
18.25,2050.0
18.3,2047.1
18.35,2050.3
18.4,2041.1
18.45,2042.3
18.5,2044.4
18.55,2034.7
18.6,2041.0
18.65,2040.3
18.7,2037.9
18.75,2032.0
18.8,2037.7
18.85,2034.9
18.9,2030.0
18.95,2033.1
19.0,2029.8
19.05,2028.1
19.1,2026.8
19.15,2025.8
19.2,2029.2
19.25,2024.2
19.3,2015.1
19.35,2024.0
19.4,2022.6
19.45,2015.4
19.5,2022.5
19.55,2018.4
19.6,2010.5
19.65,2013.1
19.7,2014.1
19.75,2005.4
19.8,2011.4
19.85,2004.7
19.9,2004.4
19.95,2005.5
20.0,2001.3
20.05,2002.2
20.1,1994.1
20.15,1999.8
20.2,2001.6
20.25,1998.3
20.3,1990.9
20.35,1992.6
20.4,1994.5
20.45,1987.6
20.5,1990.5
20.55,1985.1
20.6,1982.9
20.65,1985.1
20.7,1986.8
20.75,1980.5
20.8,1977.8
20.85,1981.0
20.9,1979.1
20.95,1979.6
21.0,1970.6
21.05,1973.5
21.1,1970.8
21.15,1978.5
21.2,1971.5
21.25,1969.5
21.3,1967.1
21.35,1965.3
21.4,1964.2
21.45,1966.0
21.5,1962.6
21.55,1958.4
21.6,1959.3
21.65,1957.7
21.7,1952.6
21.75,1958.8
21.8,1950.0
21.85,1951.9
21.9,1950.6
21.95,1946.5
22.0,1947.8
22.05,1944.3
22.1,1945.6
22.15,1943.4
22.2,1941.0
22.25,1938.0
22.3,1941.8
22.35,1937.6
22.4,1941.6
22.45,1930.9
22.5,1933.3
22.55,1933.3
22.6,1938.4
22.65,1927.3
22.7,1928.7
22.75,1926.4
22.8,1930.2
22.85,1933.0
22.9,1922.7
22.95,1917.7
23.0,1916.8
23.05,1916.5
23.1,1916.8
23.15,1917.3
23.2,1914.8
23.25,1916.9
23.3,1915.3
23.35,1910.6
23.4,1907.9
23.45,1909.7
23.5,1907.9
23.55,1902.5
23.6,1900.8
23.65,1904.7
23.7,1903.6
23.75,1902.0
23.8,1903.1
23.85,1896.1
23.9,1899.2
23.95,1895.8
24.0,1894.3
24.05,1892.3
24.1,1893.7
24.15,1889.7
24.2,1888.3
24.25,1888.9
24.3,1887.0
24.35,1880.7
24.4,1885.7
24.45,1883.0
24.5,1878.7
24.55,1883.3
24.6,1874.8
24.65,1876.0
24.7,1873.5
24.75,1874.6
24.8,1870.8
24.85,1866.3
24.9,1870.7
24.95,1865.8
25.0,1865.7
25.05,1869.5
25.1,1862.8
25.15,1860.5
25.2,1856.4
25.25,1860.0
25.3,1858.6
25.35,1855.5
25.4,1853.6
25.45,1854.3
25.5,1853.6
25.55,1852.9
25.6,1852.0
25.65,1847.7
25.7,1842.1
25.75,1846.0
25.8,1843.0
25.85,1842.6
25.9,1838.6
25.95,1841.3
26.0,1840.2
26.05,1836.0
26.1,1836.2
26.15,1836.3
26.2,1831.3
26.25,1834.0
26.3,1827.0
26.35,1829.8
26.4,1827.8
26.45,1831.3
26.5,1828.4
26.55,1825.5
26.6,1821.2
26.65,1823.4
26.7,1822.8
26.75,1820.9
26.8,1818.7
26.85,1813.8
26.9,1815.3
26.95,1815.5
27.0,1822.0
27.05,1811.6
27.1,1806.3
27.15,1804.7
27.2,1804.4
27.25,1798.8
27.3,1811.1
27.35,1805.6
27.4,1799.5
27.45,1800.2
27.5,1800.1
27.55,1799.4
27.6,1797.8
27.65,1792.9
27.7,1794.1
27.75,1792.8
27.8,1794.8
27.85,1790.6
27.9,1789.9
27.95,1785.6
28.0,1785.3
28.05,1783.0
28.1,1779.7
28.15,1786.0
28.2,1782.4
28.25,1774.9
28.3,1780.3
28.35,1776.7
28.4,1775.2
28.45,1772.1
28.5,1769.4
28.55,1765.6
28.6,1773.2
28.65,1763.9
28.7,1767.5
28.75,1767.5
28.8,1767.6
28.85,1759.9
28.9,1768.3
28.95,1754.9
29.0,1756.2
29.05,1758.4
29.1,1755.4
29.15,1752.5
29.2,1753.1
29.25,1752.9
29.3,1750.3
29.35,1753.7
29.4,1746.8
29.45,1744.4
29.5,1743.0
29.55,1745.2
29.6,1743.4
29.65,1740.0
29.7,1739.4
29.75,1738.7
29.8,1738.2
29.85,1738.2
29.9,1732.4
29.95,1730.4
30.0,1732.4
30.05,1723.1
30.1,1733.0
30.15,1726.0
30.2,1727.5
30.25,1725.2
30.3,1722.2
30.35,1724.9
30.4,1724.4
30.45,1723.8
30.5,1722.6
30.55,1718.4
30.6,1714.6
30.65,1711.2
30.7,1712.0
30.75,1711.7
30.8,1712.6
30.85,1706.5
30.9,1705.6
30.95,1705.9
31.0,1706.1
31.05,1706.4
31.1,1703.1
31.15,1706.5
31.2,1697.0
31.25,1697.0
31.3,1694.5
31.35,1694.0
31.4,1692.5
31.45,1692.0
31.5,1689.1
31.55,1689.7
31.6,1690.7
31.65,1685.9
31.7,1683.1
31.75,1686.8
31.8,1690.1
31.85,1684.1
31.9,1683.8
31.95,1679.5
32.0,1676.7
32.05,1676.7
32.1,1677.7
32.15,1675.7
32.2,1672.2
32.25,1671.2
32.3,1670.7
32.35,1663.3
32.4,1669.0
32.45,1663.7
32.5,1664.3
32.55,1662.8
32.6,1664.0
32.65,1664.4
32.7,1659.5
32.75,1656.4
32.8,1655.4
32.85,1654.7
32.9,1652.6
32.95,1653.6
33.0,1657.5
33.05,1652.6
33.1,1646.8
33.15,1648.4
33.2,1644.4
33.25,1639.5
33.3,1641.1
33.35,1634.1
33.4,1634.5
33.45,1641.7
33.5,1635.6
33.55,1636.3
33.6,1633.4
33.65,1626.6
33.7,1634.2
33.75,1628.2
33.8,1635.4
33.85,1625.0
33.9,1628.6
33.95,1625.4
34.0,1621.1
34.05,1621.0
34.1,1621.1
34.15,1621.5
34.2,1617.1
34.25,1615.2
34.3,1612.5
34.35,1609.8
34.4,1614.1
34.45,1613.8
34.5,1608.2
34.55,1606.6
34.6,1607.7
34.65,1607.8
34.7,1602.6
34.75,1602.4
34.8,1599.1
34.85,1601.9
34.9,1597.6
34.95,1598.1
35.0,1598.4
35.05,1594.2
35.1,1593.0
35.15,1590.5
35.2,1589.7
35.25,1592.0
35.3,1592.5
35.35,1587.5
35.4,1584.7
35.45,1582.9
35.5,1583.7
35.55,1583.1
35.6,1581.5
35.65,1580.4
35.7,1574.4
35.75,1576.0
35.8,1570.0
35.85,1572.8
35.9,1568.7
35.95,1567.5
36.0,1563.8
36.05,1565.7
36.1,1569.3
36.15,1566.4
36.2,1562.0
36.25,1563.7
36.3,1561.2
36.35,1561.3
36.4,1556.9
36.45,1561.0
36.5,1556.2
36.55,1556.1
36.6,1556.7
36.65,1551.9
36.7,1550.0
36.75,1550.6
36.8,1546.7
36.85,1544.2
36.9,1547.8
36.95,1542.4
37.0,1537.5
37.05,1547.1
37.1,1545.1
37.15,1538.3
37.2,1534.2
37.25,1537.6
37.3,1535.7
37.35,1526.5
37.4,1530.6
37.45,1532.8
37.5,1529.9
37.55,1529.2
37.6,1526.6
37.65,1528.1
37.7,1521.0
37.75,1521.4
37.8,1519.3
37.85,1516.9
37.9,1512.6
37.95,1513.2
38.0,1513.2
38.05,1512.1
38.1,1511.0
38.15,1511.5
38.2,1512.8
38.25,1510.7
38.3,1507.4
38.35,1507.9
38.4,1506.7
38.45,1506.2
38.5,1505.7
38.55,1503.6
38.6,1501.4
38.65,1497.8
38.7,1491.6
38.75,1490.9
38.8,1498.0
38.85,1497.0
38.9,1489.8
38.95,1492.3
39.0,1491.0
39.05,1486.0
39.1,1484.8
39.15,1487.1
39.2,1483.5
39.25,1481.8
39.3,1481.1
39.35,1481.8
39.4,1477.0
39.45,1479.8
39.5,1481.5
39.55,1472.8
39.6,1470.5
39.65,1466.8
39.7,1465.0
39.75,1470.2
39.8,1467.6
39.85,1465.6
39.9,1467.4
39.95,1462.1
40.0,1461.7
40.05,1462.2
40.1,1458.5
40.15,1454.2
40.2,1455.0
40.25,1453.7
40.3,1451.9
40.35,1453.0
40.4,1448.8
40.45,1449.3
40.5,1449.1
40.55,1446.3
40.6,1445.8
40.65,1445.5
40.7,1444.0
40.75,1436.9
40.8,1444.7
40.85,1434.9
40.9,1435.0
40.95,1428.8
41.0,1431.9
41.05,1430.6
41.1,1429.9
41.15,1430.9
41.2,1430.3
41.25,1427.4
41.3,1426.0
41.35,1428.7
41.4,1424.3
41.45,1422.6
41.5,1421.0
41.55,1423.3
41.6,1422.1
41.65,1412.8
41.7,1413.0
41.75,1416.3
41.8,1413.0
41.85,1407.9
41.9,1410.0
41.95,1407.8
42.0,1403.7
42.05,1408.2
42.1,1406.8
42.15,1406.0
42.2,1402.4
42.25,1397.0
42.3,1395.8
42.35,1399.7
42.4,1397.0
42.45,1392.7
42.5,1391.3
42.55,1393.9
42.6,1393.2
42.65,1387.3
42.7,1389.6
42.75,1384.8
42.8,1385.9
42.85,1387.7
42.9,1379.1
42.95,1382.9
43.0,1380.7
43.05,1385.0
43.1,1373.4
43.15,1377.2
43.2,1376.1
43.25,1373.4
43.3,1376.0
43.35,1375.1
43.4,1372.9
43.45,1372.0
43.5,1367.2
43.55,1365.8
43.6,1360.6
43.65,1356.5
43.7,1359.4
43.75,1358.0
43.8,1359.1
43.85,1354.0
43.9,1355.2
43.95,1353.4
44.0,1353.1
44.05,1353.2
44.1,1350.5
44.15,1345.5
44.2,1348.6
44.25,1342.0
44.3,1344.9
44.35,1347.5
44.4,1340.6
44.45,1339.6
44.5,1340.6
44.55,1340.4
44.6,1336.2
44.65,1334.4
44.7,1335.4
44.75,1334.1
44.8,1332.0
44.85,1333.6
44.9,1326.7
44.95,1319.5
45.0,1325.9
45.05,1323.4
45.1,1324.9
45.15,1322.9
45.2,1324.0
45.25,1322.4
45.3,1312.7
45.35,1311.7
45.4,1318.0
45.45,1314.1
45.5,1311.3
45.55,1308.6
45.6,1313.7
45.65,1309.6
45.7,1313.3
45.75,1307.9
45.8,1303.8
45.85,1304.2
45.9,1298.1
45.95,1301.7
46.0,1297.0
46.05,1295.5
46.1,1294.7
46.15,1298.0
46.2,1295.3
46.25,1293.9
46.3,1294.4
46.35,1290.0
46.4,1285.4
46.45,1289.0
46.5,1287.3
46.55,1286.8
46.6,1280.8
46.65,1281.7
46.7,1284.3
46.75,1276.7
46.8,1281.4
46.85,1269.5
46.9,1278.7
46.95,1275.1
47.0,1269.8
47.05,1268.7
47.1,1269.8
47.15,1269.4
47.2,1262.5
47.25,1264.3
47.3,1265.0
47.35,1260.1
47.4,1261.8
47.45,1262.2
47.5,1260.0
47.55,1251.9
47.6,1259.9
47.65,1253.7
47.7,1248.9
47.75,1255.0
47.8,1250.4
47.85,1252.9
47.9,1253.2
47.95,1245.4
48.0,1243.4
48.05,1245.3
48.1,1243.8
48.15,1237.5
48.2,1241.1
48.25,1239.1
48.3,1235.5
48.35,1233.7
48.4,1233.8
48.45,1231.4
48.5,1232.9
48.55,1230.5
48.6,1231.0
48.65,1222.3
48.7,1223.9
48.75,1223.9
48.8,1229.1
48.85,1222.9
48.9,1220.0
48.95,1215.4
49.0,1219.8
49.05,1223.7
49.1,1214.9
49.15,1216.9
49.2,1210.9
49.25,1210.5
49.3,1207.6
49.35,1207.6
49.4,1208.8
49.45,1209.6
49.5,1201.3
49.55,1207.1
49.6,1201.1
49.65,1200.7
49.7,1206.5
49.75,1201.0
49.8,1195.4
49.85,1197.6
49.9,1195.9
49.95,1197.7
50.0,1191.8
50.05,1185.7
50.1,1187.7
50.15,1185.7
50.2,1185.9
50.25,1181.5
50.3,1177.0
50.35,1181.9
50.4,1181.3
50.45,1181.1
50.5,1181.3
50.55,1174.7
50.6,1173.8
50.65,1169.7
50.7,1168.9
50.75,1170.9
50.8,1168.7
50.85,1165.0
50.9,1165.0
50.95,1160.7
51.0,1162.2
51.05,1161.6
51.1,1164.4
51.15,1163.8
51.2,1158.3
51.25,1156.5
51.3,1157.6
51.35,1156.7
51.4,1151.1
51.45,1156.6
51.5,1148.2
51.55,1146.2
51.6,1152.5
51.65,1145.3
51.7,1141.7
51.75,1142.9
51.8,1143.6
51.85,1140.8
51.9,1142.0
51.95,1139.2
52.0,1134.7
52.05,1136.0
52.1,1128.8
52.15,1131.8
52.2,1133.9
52.25,1131.5
52.3,1128.0
52.35,1128.3
52.4,1125.0
52.45,1121.4
52.5,1123.6
52.55,1122.9
52.6,1123.2
52.65,1119.3
52.7,1120.3
52.75,1113.4
52.8,1116.2
52.85,1113.0
52.9,1109.4
52.95,1110.1
53.0,1113.3
53.05,1108.5
53.1,1103.7
53.15,1108.5
53.2,1102.6
53.25,1105.3
53.3,1103.9
53.35,1102.2
53.4,1099.0
53.45,1096.3
53.5,1096.4
53.55,1091.9
53.6,1088.9
53.65,1089.3
53.7,1094.9
53.75,1087.2
53.8,1085.7
53.85,1091.1
53.9,1083.8
53.95,1087.0
54.0,1082.1
54.05,1078.2
54.1,1078.7
54.15,1077.3
54.2,1081.1
54.25,1076.5
54.3,1076.8
54.35,1069.1
54.4,1072.6
54.45,1069.2
54.5,1070.9
54.55,1068.1
54.6,1071.9
54.65,1064.0
54.7,1062.9
54.75,1058.7
54.8,1065.9
54.85,1062.6
54.9,1056.9
54.95,1058.6
55.0,1057.8
55.05,1056.6
55.1,1049.6
55.15,1050.3
55.2,1052.6
55.25,1047.0
55.3,1050.5
55.35,1048.5
55.4,1046.5
55.45,1044.5
55.5,1046.4
55.55,1044.8
55.6,1041.8
55.65,1039.4
55.7,1036.6
55.75,1033.2
55.8,1039.9
55.85,1034.5
55.9,1031.8
55.95,1029.4
56.0,1032.3
56.05,1028.1
56.1,1025.1
56.15,1019.6
56.2,1027.2
56.25,1020.9
56.3,1017.5
56.35,1018.6
56.4,1020.2
56.45,1016.7
56.5,1013.9
56.55,1007.8
56.6,1015.3
56.65,1010.5
56.7,1012.8
56.75,1009.5
56.8,1008.7
56.85,1006.0
56.9,1006.0
56.95,1004.8
57.0,995.5
57.05,1000.4
57.1,996.8
57.15,997.3
57.2,996.9
57.25,996.4
57.3,996.6
57.35,986.5
57.4,996.4
57.45,988.7
57.5,990.5
57.55,986.7
57.6,987.9
57.65,983.1
57.7,981.9
57.75,979.0
57.8,983.5
57.85,976.3
57.9,977.4
57.95,976.6
58.0,976.7
58.05,976.1
58.1,969.2
58.15,966.9
58.2,965.9
58.25,972.5
58.3,958.8
58.35,969.2
58.4,962.9
58.45,957.2
58.5,963.1
58.55,959.3
58.6,962.4
58.65,955.6
58.7,957.2
58.75,952.4
58.8,953.1
58.85,951.0
58.9,950.6
58.95,950.7
59.0,948.0
59.05,947.1
59.1,949.7
59.15,946.0
59.2,943.2
59.25,938.7
59.3,940.8
59.35,943.3
59.4,932.6
59.45,935.0
59.5,934.3
59.55,927.6
59.6,931.2
59.65,928.1
59.7,930.2
59.75,928.5
59.8,926.9
59.85,923.6
59.9,928.9
59.95,919.7
60.0,920.0
60.05,922.2
60.1,920.0
60.15,916.5
60.2,917.2
60.25,914.0
60.3,913.0
60.35,908.9
60.4,910.6
60.45,907.4
60.5,910.0
60.55,907.8
60.6,904.3
60.65,902.8
60.7,903.1
60.75,904.2
60.8,896.5
60.85,899.3
60.9,903.8
60.95,898.1
61.0,894.0
61.05,892.9
61.1,889.5
61.15,887.5
61.2,889.0
61.25,894.9
61.3,884.4
61.35,881.7
61.4,884.2
61.45,877.7
61.5,880.7
61.55,874.3
61.6,880.1
61.65,876.6
61.7,874.1
61.75,874.0
61.8,873.3
61.85,869.6
61.9,870.3
61.95,864.2
62.0,866.1
62.05,869.7
62.1,860.9
62.15,863.2
62.2,861.8
62.25,859.5
62.3,858.2
62.35,857.0
62.4,854.2
62.45,852.1
62.5,853.5
62.55,850.7
62.6,852.6
62.65,849.8
62.7,850.6
62.75,845.3
62.8,840.1
62.85,839.3
62.9,842.8
62.95,840.8
63.0,834.8
63.05,839.9
63.1,832.9
63.15,833.9
63.2,829.7
63.25,831.9
63.3,833.6
63.35,831.1
63.4,825.2
63.45,824.7
63.5,823.0
63.55,825.5
63.6,818.8
63.65,824.4
63.7,819.6
63.75,820.6
63.8,824.4
63.85,819.4
63.9,815.1
63.95,811.7
64.0,813.0
64.05,812.3
64.1,812.5
64.15,806.5
64.2,802.5
64.25,807.0
64.3,804.5
64.35,802.5
64.4,803.5
64.45,797.6
64.5,796.2
64.55,794.2
64.6,799.1
64.65,796.3
64.7,792.9
64.75,798.9
64.8,789.2
64.85,791.0
64.9,788.7
64.95,784.4
65.0,784.2
65.05,785.7
65.1,780.6
65.15,781.8
65.2,788.1
65.25,780.3
65.3,776.2
65.35,774.4
65.4,772.7
65.45,774.3
65.5,770.6
65.55,771.2
65.6,769.8
65.65,768.3
65.7,765.9
65.75,767.6
65.8,763.5
65.85,757.3
65.9,765.2
65.95,759.4
66.0,759.5
66.05,757.6
66.1,751.2
66.15,755.5
66.2,751.8
66.25,748.6
66.3,754.6
66.35,750.9
66.4,745.2
66.45,747.1
66.5,749.6
66.55,742.5
66.6,744.9
66.65,741.7
66.7,737.5
66.75,739.4
66.8,731.9
66.85,736.0
66.9,729.3
66.95,730.9
67.0,728.1
67.05,727.2
67.1,727.7
67.15,724.3
67.2,724.1
67.25,727.2
67.3,718.3
67.35,723.4
67.4,722.4
67.45,720.0
67.5,722.9
67.55,718.5
67.6,722.7
67.65,714.5
67.7,710.6
67.75,708.6
67.8,711.4
67.85,709.4
67.9,705.8
67.95,706.1
68.0,701.2
68.05,705.0
68.1,699.6
68.15,700.2
68.2,699.4
68.25,697.4
68.3,691.5
68.35,695.6
68.4,694.3
68.45,693.6
68.5,698.1
68.55,686.0
68.6,687.4
68.65,684.7
68.7,680.7
68.75,681.8
68.8,685.7
68.85,681.8
68.9,683.7
68.95,679.9
69.0,684.5
69.05,671.9
69.1,676.7
69.15,674.6
69.2,673.8
69.25,667.7
69.3,667.1
69.35,670.7
69.4,668.1
69.45,666.3
69.5,665.9
69.55,662.1
69.6,661.5
69.65,655.7
69.7,661.5
69.75,651.6
69.8,656.3
69.85,659.6
69.9,656.5
69.95,656.2
70.0,648.0
70.05,649.9
70.1,644.3
70.15,643.5
70.2,645.5
70.25,644.3
70.3,641.7
70.35,645.9
70.4,641.0
70.45,634.5
70.5,636.8
70.55,632.7
70.6,632.3
70.65,632.9
70.7,632.5
70.75,630.2
70.8,630.5
70.85,627.3
70.9,627.6
70.95,626.8
71.0,621.7
71.05,623.4
71.1,623.5
71.15,615.9
71.2,616.8
71.25,613.7
71.3,617.0
71.35,611.8
71.4,611.7
71.45,610.9
71.5,610.9
71.55,607.2
71.6,604.6
71.65,603.2
71.7,598.9
71.75,597.3
71.8,601.3
71.85,599.8
71.9,599.9
71.95,597.9
72.0,589.8
72.05,597.3
72.1,596.9
72.15,588.5
72.2,587.0
72.25,592.4
72.3,587.3
72.35,591.7
72.4,588.4
72.45,587.0
72.5,584.4
72.55,582.3
72.6,582.8
72.65,579.2
72.7,577.2
72.75,571.9
72.8,578.2
72.85,575.5
72.9,572.4
72.95,570.9
73.0,569.4
73.05,564.5
73.1,570.6
73.15,563.7
73.2,564.6
73.25,561.9
73.3,560.7
73.35,560.8
73.4,562.3
73.45,557.0
73.5,553.2
73.55,559.0
73.6,554.3
73.65,553.0
73.7,550.3
73.75,547.0
73.8,541.0
73.85,542.7
73.9,545.4
73.95,545.4
74.0,539.9
74.05,540.4
74.1,541.1
74.15,533.6
74.2,540.3
74.25,533.0
74.3,533.5
74.35,532.8
74.4,529.1
74.45,528.4
74.5,528.2
74.55,525.9
74.6,526.5
74.65,526.6
74.7,520.0
74.75,523.4
74.8,519.4
74.85,514.6
74.9,516.2
74.95,510.7
75.0,515.5
75.05,512.7
75.1,509.5
75.15,509.6
75.2,511.6
75.25,511.3
75.3,500.6
75.35,503.7
75.4,504.3
75.45,500.3
75.5,503.4
75.55,500.0
75.6,499.8
75.65,489.7
75.7,492.8
75.75,496.2
75.8,490.8
75.85,493.9
75.9,494.3
75.95,491.8
76.0,490.9
76.05,489.5
76.1,487.8
76.15,488.0
76.2,488.8
76.25,484.9
76.3,489.1
76.35,484.9
76.4,485.6
76.45,486.2
76.5,485.3
76.55,485.8
76.6,487.5
76.65,484.5
76.7,481.9
76.75,481.8
76.8,478.9
76.85,481.2
76.9,480.8
76.95,483.2
77.0,482.1
77.05,482.5
77.1,480.5
77.15,485.2
77.2,482.1
77.25,478.2
77.3,475.2
77.35,478.6
77.4,476.9
77.45,477.6
77.5,476.4
77.55,471.2
77.6,475.0
77.65,472.0
77.7,480.1
77.75,478.2
77.8,473.1
77.85,472.4
77.9,466.9
77.95,474.1
78.0,472.7
78.05,472.6
78.1,470.6
78.15,468.1
78.2,470.0
78.25,472.1
78.3,471.1
78.35,470.9
78.4,464.1
78.45,472.1
78.5,465.9
78.55,466.8
78.6,466.5
78.65,465.2
78.7,465.0
78.75,466.7
78.8,467.8
78.85,463.0
78.9,466.5
78.95,458.9
79.0,466.4
79.05,458.9
79.1,463.0
79.15,460.5
79.2,464.0
79.25,466.1
79.3,457.9
79.35,458.6
79.4,459.4
79.45,453.9
79.5,458.5
79.55,458.8
79.6,457.4
79.65,458.9
79.7,458.7
79.75,458.5
79.8,459.7
79.85,454.8
79.9,454.3
79.95,453.1
80.0,452.4
80.05,454.4
80.1,453.6
80.15,449.8
80.2,450.1
80.25,455.1
80.3,448.0
80.35,450.0
80.4,450.7
80.45,450.1
80.5,445.3
